"ID","Sex_R","BirthYear","Age","AgeClass","SampleYear","IgG_TC","IgPlateRef","RTL","qPCRPlate","qPCRRow","Survival"
8730,"Females",2012,0,"Lambs",2012,0.35637,22,1.67917460686246,20,"C",1
6600,"Females",2007,0,"Lambs",2007,0.27568,48,1.63077348753019,20,"G",1
4583,"Females",2001,0,"Lambs",2001,0.56523,22,1.79512507174716,20,"G",0
6715,"Females",2007,0,"Lambs",2007,0.06713,47,2.08241641253268,20,"B",1
6616,"Males",2007,0,"Lambs",2007,0.87616,48,1.63939680064492,20,"G",1
4602,"Females",2001,0,"Lambs",2001,0.67464,23,1.9302839507947,20,"E",0
8794,"Females",2012,0,"Lambs",2012,0.44196,21,1.71688152725635,20,"F",1
4579,"Females",2001,0,"Lambs",2001,0.14882,22,1.82857347593719,81,"E",0
6614,"Females",2007,0,"Lambs",2007,0.38377,48,1.82397042942812,96,"E",0
4681,"Females",2001,0,"Lambs",2001,1.20918,24,1.80900043031767,81,"B",0
6716,"Males",2007,0,"Lambs",2007,0.05433,47,2.04949370589725,81,"A",1
6652,"Males",2007,0,"Lambs",2007,0.11618,48,1.75999636247293,81,"B",0
6883,"Females",2008,0,"Lambs",2008,0.13894,42,2.126091151222,21,"A",0
6035,"Males",2004,0,"Lambs",2004,0.04504,65,2.20223198760592,21,"F",0
6947,"Females",2008,0,"Lambs",2008,0.19471,41,1.73642266948906,21,"A",0
6858,"Females",2008,0,"Lambs",2008,0.26509,42,2.01496738871329,21,"B",0
4471,"Males",2000,0,"Lambs",2000,0.05292,60,1.84854465768538,21,"H",1
6114,"Males",2005,0,"Lambs",2005,0.26908,62,1.49650047319561,21,"F",1
6165,"Females",2005,0,"Lambs",2005,0.18053,62,1.65825102935945,21,"G",0
4463,"Males",2000,0,"Lambs",2000,0.15576,59,2.21609613817004,21,"C",1
4517,"Females",2000,0,"Lambs",2000,0.24503,60,1.80057772762108,21,"F",1
6971,"Females",2008,0,"Lambs",2008,0.04507,41,1.8153195540792,21,"H",1
5901,"Males",2004,0,"Lambs",2004,0.36773,64,2.40755637712449,95,"B",0
6876,"Females",2008,0,"Lambs",2008,0.33929,42,2.05643345991817,22,"H",0
5876,"Males",2004,0,"Lambs",2004,0.08597,64,1.97867777537767,22,"A",0
5874,"Males",2004,0,"Lambs",2004,0.33112,64,2.03900711214426,22,"C",0
4454,"Females",2000,0,"Lambs",2000,0.19726,59,1.89404525108011,22,"F",1
4459,"Females",2000,0,"Lambs",2000,0.14129,59,1.59940069434155,22,"G",1
6950,"Females",2008,0,"Lambs",2008,0.27005,41,1.61741873361169,22,"H",0
6897,"Females",2008,0,"Lambs",2008,0.11278,42,1.98838738799258,22,"C",0
6827,"Females",2008,0,"Lambs",2008,0.38228,42,2.29166621720615,22,"E",1
6872,"Males",2008,0,"Lambs",2008,0.07283,42,2.1291976947426,23,"B",0
5820,"Females",2004,0,"Lambs",2004,0.18856,63,2.31135928650749,23,"D",0
5990,"Males",2004,0,"Lambs",2004,0.19576,65,2.23908725950314,23,"F",0
6155,"Females",2005,0,"Lambs",2005,0.30845,62,1.59148667161081,23,"B",1
4518,"Females",2000,0,"Lambs",2000,0.1381,60,1.64300530552181,23,"C",1
4510,"Females",2000,0,"Lambs",2000,0.08958,60,2.22006297757173,23,"A",1
6857,"Females",2008,0,"Lambs",2008,0.13933,42,2.43409514254486,23,"D",1
4353,"Males",2000,0,"Lambs",2000,0.08598,59,2.021713831601,23,"E",1
5919,"Males",2004,0,"Lambs",2004,0.08191,64,2.09372507188137,23,"D",0
5992,"Females",2004,0,"Lambs",2004,0.27407,65,2.02892770100439,23,"F",0
6855,"Females",2008,0,"Lambs",2008,0.26899,42,2.14607972418042,23,"A",0
9063,"Males",2013,0,"Lambs",2013,0.08273,18,2.4167696723077,23,"B",1
7088,"Females",2008,0,"Lambs",2008,0.07348,40,1.9384446201935,23,"C",0
4519,"Males",2000,0,"Lambs",2000,0.13105,60,2.44037817250297,23,"D",0
7044,"Females",2008,0,"Lambs",2008,0.06899,41,2.20164643889185,24,"C",0
6946,"Females",2008,0,"Lambs",2008,0.12622,41,2.19390813846877,24,"F",0
6032,"Females",2004,0,"Lambs",2004,0.05219,65,1.94307129076763,24,"G",0
9244,"Males",2013,0,"Lambs",2013,0.15687,17,1.922640390548,24,"B",1
6884,"Males",2008,0,"Lambs",2008,0.62357,42,1.93790896689237,24,"D",1
6862,"Females",2008,0,"Lambs",2008,0.15232,42,2.03531944654569,24,"F",0
6898,"Males",2008,0,"Lambs",2008,0.15615,42,2.14823595531643,24,"H",1
6906,"Males",2008,0,"Lambs",2008,0.04424,42,1.39518853011818,24,"E",0
9012,"Males",2013,0,"Lambs",2013,0.01996,18,1.90791990677894,24,"G",1
6845,"Males",2008,0,"Lambs",2008,0.32139,42,2.02415206040792,24,"A",0
6916,"Females",2008,0,"Lambs",2008,0.11256,42,1.7621587722383,24,"G",1
6944,"Males",2008,0,"Lambs",2008,0.29502,41,2.13944361421886,24,"H",1
5895,"Females",2004,0,"Lambs",2004,0.1364,64,1.94252304649282,24,"D",0
5815,"Females",2004,0,"Lambs",2004,0.44792,63,1.90527431992035,24,"E",0
6969,"Females",2008,0,"Lambs",2008,0.05678,41,1.53560320084389,24,"G",1
9211,"Females",2013,0,"Lambs",2013,0.09318,17,2.6343658889677,24,"D",1
6958,"Females",2008,0,"Lambs",2008,0.13944,41,1.97270072224242,25,"D",1
7048,"Males",2008,0,"Lambs",2008,0.12223,41,2.09302486035831,25,"G",1
6197,"Females",2005,0,"Lambs",2005,0.23671,62,1.84615493227463,25,"D",0
7051,"Females",2008,0,"Lambs",2008,0.10563,41,1.75798991705172,25,"F",1
4333,"Females",2000,0,"Lambs",2000,0.2575,59,1.79871731493037,25,"C",1
6902,"Males",2008,0,"Lambs",2008,0.17118,42,1.60928670600556,25,"A",0
5734,"Males",2004,0,"Lambs",2004,0.06964,63,2.31935466844261,25,"F",0
6967,"Females",2008,0,"Lambs",2008,0.08223,41,2.02215805995185,25,"A",1
6103,"Females",2005,0,"Lambs",2005,0.13956,63,2.2620524245716,25,"B",0
4507,"Males",2000,0,"Lambs",2000,0.11908,60,2.00945857564929,25,"C",1
5890,"Males",2004,0,"Lambs",2004,0.04697,64,2.29663662440982,26,"B",0
6202,"Males",2005,0,"Lambs",2005,0.06465,62,2.03959545054478,26,"F",1
5898,"Males",2004,0,"Lambs",2004,0.04706,64,1.95420107489532,26,"H",0
6152,"Males",2005,0,"Lambs",2005,0.173,62,1.69748073413319,26,"A",0
5752,"Females",2004,0,"Lambs",2004,0.08121,63,1.67437818195444,26,"F",0
5797,"Females",2004,0,"Lambs",2004,0.18126,63,1.81071074433351,26,"G",0
6957,"Males",2008,0,"Lambs",2008,0.26223,41,1.78382433519768,26,"H",1
6183,"Females",2005,0,"Lambs",2005,0.19376,62,1.74370077764127,26,"A",0
6125,"Females",2005,0,"Lambs",2005,0.24287,62,1.90771727524743,26,"E",1
5981,"Females",2004,0,"Lambs",2004,0.26682,63,2.1652778708036,26,"A",0
6826,"Males",2008,0,"Lambs",2008,0.35095,42,1.92083687463026,26,"G",0
5731,"Males",2004,0,"Lambs",2004,0.089,63,2.08589850685681,27,"B",0
7050,"Males",2008,0,"Lambs",2008,0.15506,41,2.09836700703609,27,"D",1
4506,"Females",2000,0,"Lambs",2000,0.16374,60,1.99158349091678,27,"F",0
6927,"Females",2008,0,"Lambs",2008,0.10769,42,2.32633471561659,27,"H",1
6984,"Males",2008,0,"Lambs",2008,0.27123,41,1.69953540138068,27,"C",0
4375,"Males",2000,0,"Lambs",2000,0.06253,59,1.92725999470733,27,"D",1
5925,"Females",2004,0,"Lambs",2004,0.08834,64,1.89065326188144,27,"F",0
7046,"Females",2008,0,"Lambs",2008,0.11341,41,2.23987589930356,27,"H",1
6304,"Females",2005,0,"Lambs",2005,0.20582,61,2.22970071416471,27,"B",1
5741,"Females",2004,0,"Lambs",2004,0.39146,63,1.64537995876083,27,"E",1
5834,"Males",2004,0,"Lambs",2004,0.09731,64,2.09577008888181,27,"G",0
7049,"Males",2008,0,"Lambs",2008,0.08058,41,2.04802189903713,27,"D",0
6865,"Females",2008,0,"Lambs",2008,0.06489,42,2.11335184667107,27,"B",0
6034,"Males",2004,0,"Lambs",2004,0.04248,65,2.34216013920737,27,"D",0
4504,"Females",2000,0,"Lambs",2000,0.04719,60,2.17896022282744,28,"A",1
5907,"Females",2004,0,"Lambs",2004,0.31695,64,2.09992901073369,28,"F",0
7043,"Females",2008,0,"Lambs",2008,0.21629,41,2.11763248284114,28,"G",1
5801,"Males",2004,0,"Lambs",2004,0.41134,63,1.80620989070852,28,"B",0
9247,"Males",2013,0,"Lambs",2013,0.044,17,1.66890549820714,28,"G",1
6955,"Males",2008,0,"Lambs",2008,0.51266,41,1.59407008992324,28,"A",0
6919,"Males",2008,0,"Lambs",2008,0.50205,42,2.19431597964404,28,"B",0
5732,"Males",2004,0,"Lambs",2004,0.11146,63,1.99596849810071,29,"B",0
6875,"Females",2008,0,"Lambs",2008,0.15671,42,1.76397080625699,29,"A",0
5993,"Females",2004,0,"Lambs",2004,0.09214,65,1.81056593777207,29,"F",0
4515,"Males",2000,0,"Lambs",2000,0.05383,60,1.92123668923767,29,"G",1
4444,"Females",2000,0,"Lambs",2000,0.12155,59,2.02213352878361,29,"H",0
5904,"Females",2004,0,"Lambs",2004,0.29759,63,1.99306794217575,29,"H",0
6886,"Males",2008,0,"Lambs",2008,0.40927,42,1.85779025780766,29,"E",1
5930,"Females",2004,0,"Lambs",2004,0.06395,64,1.91308761264067,29,"G",0
5988,"Males",2004,0,"Lambs",2004,0.24807,64,1.8287286349686,29,"D",0
6931,"Females",2008,0,"Lambs",2008,0.2689,42,2.13278313059193,29,"E",0
5840,"Males",2004,0,"Lambs",2004,0.16701,64,2.10545985166496,29,"D",0
6163,"Males",2005,0,"Lambs",2005,0.34457,62,1.72075220250604,29,"G",0
4366,"Females",2000,0,"Lambs",2000,0.76468,59,2.50244698969259,30,"A",1
4418,"Males",2000,0,"Lambs",2000,0.07729,59,2.00154722121544,30,"C",1
9023,"Females",2013,0,"Lambs",2013,0.1506,18,2.23919332370599,30,"G",1
5900,"Females",2004,0,"Lambs",2004,0.20202,64,2.12518953841801,30,"H",0
6090,"Females",2005,0,"Lambs",2005,0.4354,63,1.64001813619421,30,"B",0
6980,"Males",2008,0,"Lambs",2008,0.15984,41,1.62224511604599,30,"G",0
4337,"Males",2000,0,"Lambs",2000,0.21601,59,2.08615368080724,30,"C",1
